"Tabela 2031 - Pessoas de 10 anos ou mais de idade ocupadas na semana de referência por posição na ocupação e categoria do emprego no trabalho principal"
"Variável - Pessoas de 10 anos ou mais de idade ocupadas na semana de referência - percentual do total geral"
"Cód.","Município","Ano x Posição na ocupação e categoria do emprego no trabalho principal"
"Cód.","Município","2000",,,,,,,,,"2010"
"Cód.","Município","Total","Empregado","Empregado - com carteira de trabalho assinada","Empregado - militar e funcionário público estatutário","Empregado - outro sem carteira de trabalho assinada","Não remunerado em ajuda a membro do domicílio","Trabalhador na produção para o próprio consumo","Empregador","Conta própria","Total","Empregado","Empregado - com carteira de trabalho assinada","Empregado - militar e funcionário público estatutário","Empregado - outro sem carteira de trabalho assinada","Não remunerado em ajuda a membro do domicílio","Trabalhador na produção para o próprio consumo","Empregador","Conta própria"
"1300508","Barreirinha (AM)","100.00","28.98","4.67","8.63","15.68","17.84","23.58","0.32","29.28","100.00","30.78","5.05","3.14","22.59","6.62","30.98","0.08","31.53"
"1300607","Benjamin Constant (AM)","100.00","37.53","10.31","7.91","19.32","4.60","14.60","1.20","42.06","100.00","40.51","7.56","5.07","27.88","3.58","24.62","0.35","30.95"
"1300631","Beruri (AM)","100.00","26.08","3.16","7.50","15.42","10.65","16.31","0.38","46.58","100.00","34.11","3.33","4.13","26.65","1.50","34.28","0.67","29.44"
"1300680","Boa Vista do Ramos (AM)","100.00","21.37","2.76","8.34","10.27","10.50","45.03","0.37","22.74","100.00","35.83","3.40","11.06","21.37","0.47","39.50","0.55","23.65"
"1300706","Boca do Acre (AM)","100.00","42.53","8.85","2.02","31.67","13.69","13.83","1.65","28.30","100.00","56.00","12.06","7.62","36.31","3.04","15.57","0.80","24.58"
"1300805","Borba (AM)","100.00","35.92","4.37","12.65","18.89","6.74","18.45","0.53","38.35","100.00","33.81","5.34","4.47","24.01","4.38","29.43","0.40","31.98"
"1300839","Caapiranga (AM)","100.00","22.68","1.55","7.03","14.09","32.44","7.39","0.22","37.27","100.00","43.41","7.15","5.80","30.46","1.09","15.31","0.25","39.94"
"1300904","Canutama (AM)","100.00","36.87","6.82","7.53","22.52","1.57","22.50","0.69","38.37","100.00","37.92","5.77","12.09","20.06","0.32","39.52","0.11","22.13"
"1301001","Carauari (AM)","100.00","51.27","17.69","2.50","31.08","2.15","17.55","0.95","28.07","100.00","50.76","15.13","4.85","30.78","0.77","21.81","0.70","25.96"
"1301100","Careiro (AM)","100.00","25.72","4.77","6.17","14.78","8.26","16.88","0.67","48.47","100.00","39.77","9.12","10.78","19.87","4.97","20.38","0.14","34.75"
"1301159","Careiro da Várzea (AM)","100.00","14.25","1.51","4.01","8.72","18.26","8.67","0.35","58.47","100.00","28.38","4.32","1.68","22.38","3.63","19.14","0.49","48.37"
"1301209","Coari (AM)","100.00","30.22","5.97","6.55","17.70","18.36","7.18","1.57","42.66","100.00","50.77","15.29","8.32","27.16","1.57","11.69","0.63","35.33"
"1301308","Codajás (AM)","100.00","24.84","3.90","2.83","18.11","16.05","10.86","1.41","46.84","100.00","32.48","5.60","5.14","21.74","1.53","17.64","0.39","47.96"
"1301407","Eirunepé (AM)","100.00","48.43","7.83","14.12","26.48","6.26","11.38","0.40","33.54","100.00","47.83","7.06","6.37","34.39","5.22","19.75","0.50","26.70"
"1301506","Envira (AM)","100.00","45.59","8.06","7.82","29.71","7.03","5.67","-","41.71","100.00","56.80","4.99","5.91","45.90","1.87","24.87","0.94","15.52"
"1301605","Fonte Boa (AM)","100.00","16.83","2.71","5.11","9.01","23.99","34.10","0.18","24.90","100.00","40.84","4.48","5.40","30.97","5.49","27.52","0.65","25.49"
"1301654","Guajará (AM)","100.00","41.29","5.65","5.93","29.71","2.72","33.76","0.69","21.54","100.00","46.30","9.94","8.19","28.16","0.92","42.58","0.37","9.84"
"1301704","Humaitá (AM)","100.00","48.59","15.02","11.15","22.42","6.75","15.07","1.43","28.16","100.00","50.74","16.05","11.51","23.19","2.15","16.47","1.38","29.26"
"1301803","Ipixuna (AM)","100.00","30.84","2.69","1.86","26.29","12.05","20.24","0.17","36.71","100.00","42.70","3.26","2.76","36.69","2.10","28.93","0.32","25.94"
"1301852","Iranduba (AM)","100.00","44.24","11.01","5.49","27.74","4.51","4.73","0.45","46.08","100.00","49.95","17.48","7.93","24.54","3.00","12.10","0.41","34.54"
"1301902","Itacoatiara (AM)","100.00","47.10","15.93","8.04","23.13","9.71","4.25","0.93","38.01","100.00","53.82","20.99","5.98","26.84","1.50","13.19","0.50","31.00"
"1301951","Itamarati (AM)","100.00","20.22","4.09","11.33","4.80","1.90","44.72","0.11","33.05","100.00","39.86","3.59","10.34","25.93","1.70","36.67","0.45","21.33"
